,holdout_roc_auc,holdout_pr_auc,holdout_f1,holdout_recall,holdout_precision,holdout_accuracy
dummy,0.5,0.2654364797728886,0.0,0.0,0.0,0.7345635202271115
logistic_regression,0.8430649203027719,0.6385022493127591,0.6157068062827226,0.786096256684492,0.5060240963855421,0.7395315826827538
decision_tree,0.793889018057816,0.5658990637936956,0.5961732124874118,0.7914438502673797,0.4781906300484653,0.7154009936124911
mlp_pytorch,0.8470054237911381,0.6318346321695947,0.6197183098591549,0.7857142857142857,0.5116279069767442,0.7445600756859035
